धातुः	धातुपाठे	अर्थः	गणः	संख्या	लकारः	पदम्	प्र॰एक॰	प्र॰द्वि॰	प्र॰बहु॰	म॰एक॰	म॰द्वि॰	म॰बहु॰	उ॰एक॰	उ॰द्वि॰	उ॰बहु॰
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लट्	परस्मै॰	भवति	भवतः	भवन्ति	भवसि	भवथः	भवथ	भवामि	भवावः	भवामः
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लिट्	परस्मै॰	बभूव	बभूवतुः	बभूवुः	बभूविथ	बभूवथुः	बभूव	बभूव	बभूविव	बभूविम
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लुट्	परस्मै॰	भविता	भवितारौ	भवितारः	भवितासि	भवितास्थः	भवितास्थ	भवितास्मि	भवितास्वः	भवितास्मः
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लृट्	परस्मै॰	भविष्यति	भविष्यतः	भविष्यन्ति	भविष्यसि	भविष्यथः	भविष्यथ	भविष्यामि	भविष्यावः	भविष्यामः
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लोट्	परस्मै॰	भवतात्,भवतु	भवताम्	भवन्तु	भवतात्,भव	भवतम्	भवत	भवानि	भवाव	भवाम
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लङ्	परस्मै॰	अभवत्	अभवताम्	अभवन्	अभवः	अभवतम्	अभवत	अभवम्	अभवाव	अभवाम
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	विधिलिङ्	परस्मै॰	भवेत्	भवेताम्	भवेयुः	भवेः	भवेतम्	भवेत	भवेयम्	भवेव	भवेम
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	आशीर्लिङ्	परस्मै॰	भूयात्	भूयास्ताम्	भूयासुः	भूयाः	भूयास्तम्	भूयास्त	भूयासम्	भूयास्व	भूयास्म
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लुङ्	परस्मै॰	अभूत्	अभूताम्	अभूवन्	अभूः	अभूतम्	अभूत	अभूवम्	अभूव	अभूम
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लृङ्	परस्मै॰	अभविष्यत्	अभविष्यताम्	अभविष्यन्	अभविष्यः	अभविष्यतम्	अभविष्यत	अभविष्यम्	अभविष्याव	अभविष्याम
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लट्	आत्मने॰	एधते	एधेते	एधन्ते	एधसे	एधेथे	एधध्वे	एधे	एधावहे	एधामहे
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लिट्	आत्मने॰	एधाञ्चक्रे	एधाञ्चक्राते	एधाञ्चक्रिरे	एधाञ्चकृषे	एधाञ्चक्राथे	एधाञ्चकृढ्वे	एधाञ्चक्रे	एधाञ्चकृवहे	एधाञ्चकृमहे
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लुट्	आत्मने॰	एधिता	एधितारौ	एधितारः	एधितासे	एधितासाथे	एधिताध्वे	एधिताहे	एधितास्वहे	एधितास्महे
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लृट्	आत्मने॰	एधिष्यते	एधिष्येते	एधिष्यन्ते	एधिष्यसे	एधिष्येथे	एधिष्यध्वे	एधिष्ये	एधिष्यावहे	एधिष्यामहे
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लोट्	आत्मने॰	एधताम्	एधेताम्	एधन्ताम्	एधस्व	एधेथाम्	एधध्वम्	एधै	एधावहै	एधामहै
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लङ्	आत्मने॰	ऐधत	ऐधेताम्	ऐधन्त	ऐधथाः	ऐधेथाम्	ऐधध्वम्	ऐधे	ऐधावहि	ऐधामहि
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	विधिलिङ्	आत्मने॰	एधेत	एधेयाताम्	एधेरन्	एधेथाः	एधेयाथाम्	एधेध्वम्	एधेय	एधेवहि	एधेमहि
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	आशीर्लिङ्	आत्मने॰	एधिषीष्ट	एधिषीयास्ताम्	एधिषीरन्	एधिषीष्ठाः	एधिषीयास्थाम्	एधिषीध्वम्	एधिषीय	एधिषीवहि	एधिषीमहि
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लुङ्	आत्मने॰	ऐधिष्ट	ऐधिषाताम्	ऐधिषत	ऐधिष्ठाः	ऐधिषाथाम्	ऐधिध्वम्	ऐधिषि	ऐधिष्वहि	ऐधिष्महि
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लृङ्	आत्मने॰	ऐधिष्यत	ऐधिष्येताम्	ऐधिष्यन्त	ऐधिष्यथाः	ऐधिष्येथाम्	ऐधिष्यध्वम्	ऐधिष्ये	ऐधिष्यावहि	ऐधिष्यामहि
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लट्	आत्मने॰	स्पर्धते	स्पर्धेते	स्पर्धन्ते	स्पर्धसे	स्पर्धेथे	स्पर्धध्वे	स्पर्धे	स्पर्धावहे	स्पर्धामहे
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लिट्	आत्मने॰	पस्पर्धे	पस्पर्धाते	पस्पर्धिरे	पस्पर्धिषे	पस्पर्धाथे	पस्पर्धिध्वे	पस्पर्धे	पस्पर्धिवहे	पस्पर्धिमहे
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लुट्	आत्मने॰	स्पर्धिता	स्पर्धितारौ	स्पर्धितारः	स्पर्धितासे	स्पर्धितासाथे	स्पर्धिताध्वे	स्पर्धिताहे	स्पर्धितास्वहे	स्पर्धितास्महे
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लृट्	आत्मने॰	स्पर्धिष्यते	स्पर्धिष्येते	स्पर्धिष्यन्ते	स्पर्धिष्यसे	स्पर्धिष्येथे	स्पर्धिष्यध्वे	स्पर्धिष्ये	स्पर्धिष्यावहे	स्पर्धिष्यामहे
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लोट्	आत्मने॰	स्पर्धताम्	स्पर्धेताम्	स्पर्धन्ताम्	स्पर्धस्व	स्पर्धेथाम्	स्पर्धध्वम्	स्पर्धै	स्पर्धावहै	स्पर्धामहै
