धातुः	तिस्त्वम्	तिप्	तस्	झि	सिप्	थस्	थ	मिप्	वस्	मस्	त	आतम्	झ	थास्	आथाम्	ध्वम्	इट्	वहि	महिङ्	अङ्गकार्ये आगमः
अनदन्तः		-	-	-	-	-	-	-	-	-	ते	आते	अते	से	आथे	ध्वे	ए	वहे	महे	शपादिः
अदन्तः		-	-	-	-	-	-	-	-	-	-	इते	अन्ते	-	इथे	-	-	-	-	शपादिः
	तिस्	ता + आ	तारौ	तारस्	ता+	तास्+	तास्+	तास्+	तास्+	तास्+	परस्मै-वत्	परस्मै-वत्	परस्मै-वत्	ता+लँट्	तास्+लँट्	ता+लँट्	ताहे	तास्+लँट्	तास्+लँट्	तासि-अन्ते
अनदन्ते	अतिस्	त् (पित्)	ताम्	अन्	स् (पित्)	तम्	त	अम् (पित्)	व	म	-	-	अत	-	-	-	-	-	-	शपादिः
अदन्तः	अतिस्	-	-	-	-	-	-	-	-	-	-	इ-ताम्	-	-	इ-थाम्	-	इट्	आ+	आ+	शपादिः
अनदन्ते	तिस्	या+लङ्	या+लङ्	युः	या+लङ्	या+लङ्	या+लङ्	या+लङ्	या+लङ्	या+लङ्	ईय्+लँङ्	ईय्+लँङ्	ईरन्	ईय्+लँङ्	ईय्+लँङ्	ईय्+लँङ्	ईय	ईय्+लँङ्	ईय्+लँङ्	शपादिः
अदन्तः	तिस्	इय्+लङ्	इय्+लङ्	इयुः	इय्+लङ्	इय्+लङ्	इय्+लङ्	इय्+लङ्	इय्+लङ्	इय्+लङ्	-	-	-	-	-	-	-	-	-	शपादिः
अनदन्तः	तिस्	तुप्,तातँङ्	लँङ्	अन्तु	हिङ्|धि|लुक्,
तातँङ्(अपित्)	लँङ्	लँङ्	आ-नि (पित्)	आ+लङ् (पित्)	आ+लङ् (पित्)	लङ् +‌अम्	लँङ्	लङ् +‌अम्	स्व	लँङ्	लँङ्	ऐ (पित्)	आवहै (पित्)	आमहै (पित्)	शपादिः
अदन्तः	तिस्	-	-	-	०, तात्	-	-	-	-	-	-	-	-	-	इ-थाम्	-	-	-	-	शपादिः
अनदन्ते		या+लङ्	यास् + लङ्	यास्उः	यास् +‌ लङ्	यास् +‌ लङ्	यास् +‌ लङ्	यास् + लङ्	यास् + लङ्	यास् + लङ्										
		णल् (अ)	अतुस्	उस्	थल्	अथुस्	अ	णल् (अ)	व	म	ए	लँट्	इरे	लँट्	लँट्	लँट्	लँट्	लँट्	लँट्	
इ		एति 	इतः	यान्ति																
	तिस्	भूयात्	भूयास्तां	भूयासुः	भूयाः	भूयास्तं	भूयास्त	भूयासं	भूयास्व	भूयास्म										
कृ		चकार	चक्रतुः	चक्रुः	चकर्थ	चक्रथुः	चक्र	तिप्-वत्	चकृव	चकृम	चक्रे	चक्राते	चक्रिरे	चकृषे	चक्राथे	चकृढ्वे	त्-वत्	चकृवहे	चकृमहे	द्वित्वम्
भू	तिस्	बभूव	बभूवतुः	बभूवुः	बभूविथ	बभुवथुः	तिप्-वत्	तिप्-वत्	बभुविव	बभूविम										द्वित्वम्
अस्											आस	आसतुः	आसुः	आसिथ	आसथुः	त्-वत्	त्-वत्	आसिव	आसिम	द्वित्वम्
दृश् कर्मणि											ददृशे	ददृशेते	ददृशिरे							द्वित्वम्
भा		बभूव	बभूवतुः	बभूवुः																द्वित्वम्
