लिङ्ग	अन्तिमाक्षरः/ विशेषता	अन्यसंज्ञा	टिप्पनी	संबोधनम्	सुँ	औ	जस्	अम्	औट्	शस्	टा	भ्याम्	भिस्	ङे	भ्यस्	ङसि	ङस्	ओस्	आम्	ङि	सुप्	अङ्गकार्यम् सार्वत्रिकम्	सन्धिकार्याणि	उदाहरणम्
पुम्	अ असर्वनाम			सुँलोपः							इन		ऐः	य		आत्	स्य		नाम्, पूर्वस्य दीर्घः				प्रथमयोः पूर्वसवर्णः(दीर्घः अकः)।नादिचि।	
पुम्	अ सर्वनाम | त्यदादयः अन्तिमहलो लोपात् परम्						ई							स्मै		स्मात्			साम्	स्मिन्				
नपुंसक	अ		शेषम् पुम्-वत्		अम्	शी	शि	अम्	शी	शि														वन
स्त्री	आप् असर्वनाम			आप् → ए → सुँलोपः		ई			ई					यै		याः	याः		नाम्, पूर्वस्य दीर्घः	याम्				
स्त्री	आप् सर्वनाम																		साम्					सर्वा
	आकारान्तधातुः																					भसंज्ञकेषु - आतो लोपः।		विश्वपाः
	नदीसंज्ञकः									पुंसि न्				ऐ		आः	आः		नाम्, पूर्वस्य दीर्घः	आम्		avI tantrI tarI laxmI dhI hrI shrI -इत्येतेभ्यः सुँलोपो न। 		श्रीः
पुम्	इत्|उत् घि										ना							टि → अ + औ				घेर् ङिति (गुणः)।		
पुम्	इ		पति-सखि-असमस्तेषु भिन्नम् ।	हरे	हरि:	हरी	हरयः		औ-वत्	हरीन्	हरिणा	हरिभ्याम्	हरिभिः	हरये	हरिभ्यः	हरेः	ङसि-वत्	हर्योः	हरीणाम्	हरौ	हरिषु			हरि
पुम्	इ													पत्ये										पति
पुम्	ई		शेषम् स्त्रीवत् ।	सुधीः	सुधीः	सुध्यौ	सुधियः	सुधियम्	औ-वत्	जस्-वत्	सुधिया					जस्-वत्	ङसि-वत्	सुधियोः	सुधियाम्	सुधियि				सुधी
पुम्	उ			गुरो	गुरु:	गुरू	गुरव:	गुरुं	औ-वत्	गुरून्	गुरुना	गरुभ्य़ाम्	गुरुभि:	गुरवे	गुरुभ्य:	गुरो:	ङसि-वत्	गुरयो:	गरूणाम्	गुरौ	गुरुषु			गुरु
पुम्	ऊ		खलपू-इत्यत्र आक्षेपः।	भुः	भूः	भुवौ	भुवः	भूम्	औ-वत्	जस्-वत्	भुवा	भूभ्याम्	भूभिः	भुवे	भूभ्याम्	भुवः	ङसि-वत्	भुवोः	भुवाम्	भुवि	भूषु			स्वयंभूः
पुम्	ऋ	संबन्धवाचकम्		पित:	पिता	पितरौ	पितर:	पितरम्	औ-वत्	पितॄण्	पित्रा	पितृभ्यां	पित्रभि:	पित्रे	पितृभ्य:	पितु:	ङसि-वत्	पित्रो:	पितॄणां	पितरि	पितृषु			पितृ
पुम्	ऋ		शेषम् पितृ-वत् ।		नेता	नेतारौ	नेतारः	नेतारम्	औ-वत्								ङसि-वत्							अपित्येतस्य, तृनन्तस्य, तृजन्तस्य, स्वसृ नप्तृ नेष्टृ त्वष्तृ क्षत्तृ होतृ पोतृ पशास्तृ
पुम्	ऐ		एकम् एव।		राः	रावौ	रावः	रायम्	औ-वत्	?	रया			रये										रै
पुम्	ओ				गौः	गावौ	गावः	गाम्	औ-वत्	गाः	गवा	गोभ्याम्	गोभिः	गवे	गोभ्यः	गोः		गवोः	गवाम्	गवि	गोषु			गो
पुम्	औ					ग्लावौ		ग्लावम्	औ-वत्	जस्-वत्	ग्लावा 	ग्लौभ्याम् 	ग्लौभिः	ग्लावे		ग्लावः		ग्लावोः	ग्लावाम्	ग्लावि				ग्लौ
पुम्	शतृ		शेषम् मरुत्-वत्। अन्यत् भा+डवतु इ	भवन्	भवन्	भवन्तौ	भवन्तः	भवन्तम्	औ-वत्	भवतः														भवत्
पुम्	त्		शेषम् शत्रन्त-भवत्-वत्	भवान्	भवान्																			भवत् (भा +‌डवतु)
पुम्	न्			राजन्	राजा	राजानौ	राजानः	राजानम्	औ-वत्	ङसि-वत्	राज्ञा	राजभ्याम्	राजभिः	राज्ञे	राजभ्यः	राज्ञः	ङसि-वत्	राज्ञोः	राज्ञाम्	राज्ञि	र्राजसु			राजन्
पुम्	न्		शेषम् राजन्-वत्। श्वन्-मघन्-युवन्-इत्येतेषु अपवादः।
							 आत्मना			आत्मने		आत्मनः	ङसि-वत्	आत्मनोः	आत्मानाम्	आत्मनि	आत्मसु			आत्मन्
पुम्	न्				पन्था +	पन्थानौ	पन्थानः	पन्था +	औ-वत्	ङसि-वत्	पथा													पथिन्
पुम्	इनिट्		शेषम् आत्मन्-वत्	शशिन्	शशी	शशिनौ	शशिनः	शशिनम्	औ-वत्	जस्-वत्									शशिनाम्					शशिन्
पुम्	स्			पुरोधस्	पुरोधाः	पुरोधसौ	पुरोधसः	पुरोधसम्	औ-वत्	जस्-वत्	पुरोधसा	पुरोधोभ्याम्	पुरोधोभिः	पुरोधसे	पुरोधोभ्यः	जस्-वत्	ङसि-वत्	पुरोधसोः	पुरोधसाम्	पुरोधसि	पुरोधस्सु			पुरोधस्
पुम्	स्		शेषः पुरोधस्-वत् ।		श्रेयस्	श्रेयांसौ	श्रेयांसः		औ-वत्	जस्-वत्														श्रेयस्
पुम्	च्		मरुत्-वत् कृत्वा दकारस्य स्थाने गकारः।		वाक्				औ-वत्	जस्-वत्														वाच्
